timestamp,open,high,low,close,volume
1704276000,45400.00,45550.00,45200.00,45300.00,143.89
1704279600,45300.00,45500.00,45250.00,45450.00,167.23
1704283200,45450.00,45700.00,45400.00,45650.00,189.45
1704286800,45650.00,45900.00,45600.00,45800.00,201.67
1704290400,45800.00,46050.00,45750.00,46000.00,223.89
1704294000,46000.00,46200.00,45900.00,46150.00,245.12
1704297600,46150.00,46350.00,46000.00,46100.00,212.34
1704301200,46100.00,46200.00,45850.00,45900.00,189.56
1704304800,45900.00,46000.00,45700.00,45750.00,167.78
1704308400,45750.00,45850.00,45500.00,45600.00,145.23
1704312000,45600.00,45800.00,45550.00,45750.00,156.89
1704315600,45750.00,46000.00,45700.00,45950.00,178.45
1704319200,45950.00,46200.00,45900.00,46100.00,198.67
1704322800,46100.00,46350.00,46050.00,46300.00,212.89
1704326400,46300.00,46500.00,46200.00,46450.00,234.12
1704330000,46450.00,46700.00,46400.00,46650.00,256.34
1704333600,46650.00,46850.00,46500.00,46500.00,223.56
1704337200,46500.00,46600.00,46250.00,46300.00,198.78
1704340800,46300.00,46400.00,46100.00,46150.00,176.23
1704344400,46150.00,46250.00,45900.00,46000.00,154.45
1704348000,46000.00,46200.00,45950.00,46150.00,167.67
1704351600,46150.00,46400.00,46100.00,46350.00,189.89
1704355200,46350.00,46600.00,46300.00,46550.00,212.12
1704358800,46550.00,46750.00,46450.00,46700.00,234.34
1704362400,46700.00,46900.00,46600.00,46850.00,256.56
1704366000,46850.00,47050.00,46750.00,46700.00,223.78
1704369600,46700.00,46800.00,46450.00,46500.00,198.23
1704373200,46500.00,46600.00,46300.00,46400.00,176.45
1704376800,46400.00,46500.00,46150.00,46200.00,154.67
1704380400,46200.00,46350.00,46050.00,46300.00,145.89
1704384000,46300.00,46500.00,46250.00,46450.00,167.12
1704387600,46450.00,46700.00,46400.00,46650.00,189.34
1704391200,46650.00,46850.00,46550.00,46800.00,212.56
1704394800,46800.00,47000.00,46700.00,46950.00,234.78
1704398400,46950.00,47200.00,46900.00,47150.00,256.23
1704402000,47150.00,47350.00,47000.00,47050.00,234.45
1704405600,47050.00,47150.00,46800.00,46900.00,212.67
1704409200,46900.00,47000.00,46700.00,46750.00,189.89
1704412800,46750.00,46850.00,46500.00,46600.00,167.12
1704416400,46600.00,46800.00,46550.00,46750.00,178.34
1704420000,46750.00,47000.00,46700.00,46950.00,198.56
1704423600,46950.00,47200.00,46900.00,47100.00,223.78
1704427200,47100.00,47350.00,47050.00,47300.00,245.23
